("580","278 146 365 939 874 953")
("225 205 93 899 9 608 613","225 205 93 899 9 608 613")
("","741 997 759 462 276 1059")
("","219 303 811 789 369 -466")
("","217 81 876 495 227 0")
("","453 547 367 679 753 427800")
("","762 420 543 855 418 654 317 317")
("","46 956 428 265 611 54 239")
("","980 784 65 198 217 294")
("","444 888 832 249 435 200 280 200")
("","540 660 211 655 754 510 433")
("162","851 761 180 897 717 608")
("328 199 568 661 335 633 859","328 199 568 661 335 633 859")
("","552 927 256 348 167 686")
("","955 289 878 495 301 -61")
("","734 547 365 937 308 1")
("","377 505 348 58 56 658604")
("","391 902 930 943 829 186 291 291")
("","349 275 240 304 916 799 470")
("","218 911 654 304 459 371")
("","119 268 428 497 125 777 555 777")
("","181 45 274 572 556 867 947")
("750","129 742 510 478 370 750 782")
("578","939 513 295 310 107 415")
("","55 312 819 236 710 445 445")

