("788","987 264 20 336 837")
("42 680 331 146 421 247","42 680 331 146 421 247")
("","475 824 37 308 22")
("","317 188 615 740 286")
("","721 687 279 558 1")
("","566 72 754 587 385152")
("","727 803 624 59 301 397 397")
("","658 777 221 695 576 85")
("","67 754 764 35 847")
("","452 568 507 731 478 240 478")
("","573 45 665 984 73 328")
("530","624 63 228 248 122")
("646 132 307 219 828 744","646 132 307 219 828 744")
("","795 247 499 912 980")
("","731 86 618 238 720")
("","831 391 494 496 0")
("","569 695 893 150 108560")
("","680 941 500 987 513 680 680")
("","731 660 928 582 562 572")
("","632 656 649 251 894")
("","700 725 561 546 221 632 221")
("","376 143 679 293 327 621")
("","989 973 268 490 179")
("","794 330 0")
("269 127200","269 127200")

