("880","822 128 555 169 768 208 351")
("979 660 129 615 925 71 890 334","979 660 129 615 925 71 890 334")
("","552 199 898 130 571 135 935")
("","80 18 184 872 8 288 -256")
("","768 483 352 888 43 55 33")
("","67 898 990 993 321 881 73902")
("","80 226 356 3 361 477 522 794 794")
("","495 706 666 503 346 593 467 686")
("","428 390 355 472 446 124 847")
("","374 837 506 48 718 834 274 150 274")
("","412 982 154 125 459 919 954 28")
("663","735 937 810 433 883 496 252")
("887 608 487 685 84 334 198 459","887 608 487 685 84 334 198 459")
("","524 705 859 242 891 133 696")
("","115 899 428 927 927 700 219")
("","989 395 800 872 892 52 6")
("","12 375 168 97 710 366 212472")
("","423 767 828 314 900 573 969 367 367")
("","824 398 646 104 450 232 439 118")
("","627 270 312 871 323 200 2")
("","927 170 784 989 889 692 575 312 575")
("","459 404 979 711 329 431 154 948")
("346 429 258 796 661 728 588 289 588 877","346 429 258 796 661 728")
("","361 731 37 146 2")
("","2 700 591")

